sample,fastq_1,fastq_2,strandedness
rheumatoid_arthritis_tissue_104,fastq_files/rheumatoid_arthritis_tissue_104_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_104_2.fastq.gz,auto
rheumatoid_arthritis_tissue_82,fastq_files/rheumatoid_arthritis_tissue_82_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_82_2.fastq.gz,auto
rheumatoid_arthritis_tissue_83,fastq_files/rheumatoid_arthritis_tissue_83_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_83_2.fastq.gz,auto
rheumatoid_arthritis_tissue_107,fastq_files/rheumatoid_arthritis_tissue_107_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_107_2.fastq.gz,auto
rheumatoid_arthritis_tissue_84,fastq_files/rheumatoid_arthritis_tissue_84_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_84_2.fastq.gz,auto
rheumatoid_arthritis_tissue_109,fastq_files/rheumatoid_arthritis_tissue_109_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_109_2.fastq.gz,auto
rheumatoid_arthritis_tissue_87,fastq_files/rheumatoid_arthritis_tissue_87_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_87_2.fastq.gz,auto
rheumatoid_arthritis_tissue_113,fastq_files/rheumatoid_arthritis_tissue_113_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_113_2.fastq.gz,auto
rheumatoid_arthritis_tissue_88,fastq_files/rheumatoid_arthritis_tissue_88_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_88_2.fastq.gz,auto
rheumatoid_arthritis_tissue_123,fastq_files/rheumatoid_arthritis_tissue_123_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_123_2.fastq.gz,auto
rheumatoid_arthritis_tissue_90,fastq_files/rheumatoid_arthritis_tissue_90_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_90_2.fastq.gz,auto
rheumatoid_arthritis_tissue_126,fastq_files/rheumatoid_arthritis_tissue_126_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_126_2.fastq.gz,auto
rheumatoid_arthritis_tissue_92,fastq_files/rheumatoid_arthritis_tissue_92_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_92_2.fastq.gz,auto
rheumatoid_arthritis_tissue_127,fastq_files/rheumatoid_arthritis_tissue_127_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_127_2.fastq.gz,auto
rheumatoid_arthritis_tissue_93,fastq_files/rheumatoid_arthritis_tissue_93_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_93_2.fastq.gz,auto
rheumatoid_arthritis_tissue_128,fastq_files/rheumatoid_arthritis_tissue_128_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_128_2.fastq.gz,auto
rheumatoid_arthritis_tissue_95,fastq_files/rheumatoid_arthritis_tissue_95_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_95_2.fastq.gz,auto
rheumatoid_arthritis_tissue_129,fastq_files/rheumatoid_arthritis_tissue_129_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_129_2.fastq.gz,auto
rheumatoid_arthritis_tissue_96,fastq_files/rheumatoid_arthritis_tissue_96_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_96_2.fastq.gz,auto
rheumatoid_arthritis_tissue_131,fastq_files/rheumatoid_arthritis_tissue_131_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_131_2.fastq.gz,auto
rheumatoid_arthritis_tissue_132,fastq_files/rheumatoid_arthritis_tissue_132_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_132_2.fastq.gz,auto
rheumatoid_arthritis_tissue_97,fastq_files/rheumatoid_arthritis_tissue_97_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_97_2.fastq.gz,auto
rheumatoid_arthritis_tissue_134,fastq_files/rheumatoid_arthritis_tissue_134_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_134_2.fastq.gz,auto
rheumatoid_arthritis_tissue_101,fastq_files/rheumatoid_arthritis_tissue_101_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_101_2.fastq.gz,auto
rheumatoid_arthritis_tissue_136,fastq_files/rheumatoid_arthritis_tissue_136_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_136_2.fastq.gz,auto
rheumatoid_arthritis_tissue_103,fastq_files/rheumatoid_arthritis_tissue_103_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_103_2.fastq.gz,auto
rheumatoid_arthritis_tissue_142,fastq_files/rheumatoid_arthritis_tissue_142_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_142_2.fastq.gz,auto
rheumatoid_arthritis_tissue_145,fastq_files/rheumatoid_arthritis_tissue_145_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_145_2.fastq.gz,auto
rheumatoid_arthritis_tissue_105,fastq_files/rheumatoid_arthritis_tissue_105_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_105_2.fastq.gz,auto
rheumatoid_arthritis_tissue_151,fastq_files/rheumatoid_arthritis_tissue_151_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_151_2.fastq.gz,auto
rheumatoid_arthritis_tissue_106,fastq_files/rheumatoid_arthritis_tissue_106_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_106_2.fastq.gz,auto
rheumatoid_arthritis_tissue_108,fastq_files/rheumatoid_arthritis_tissue_108_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_108_2.fastq.gz,auto
rheumatoid_arthritis_tissue_110,fastq_files/rheumatoid_arthritis_tissue_110_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_110_2.fastq.gz,auto
rheumatoid_arthritis_tissue_111,fastq_files/rheumatoid_arthritis_tissue_111_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_111_2.fastq.gz,auto
rheumatoid_arthritis_tissue_117,fastq_files/rheumatoid_arthritis_tissue_117_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_117_2.fastq.gz,auto
rheumatoid_arthritis_tissue_118,fastq_files/rheumatoid_arthritis_tissue_118_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_118_2.fastq.gz,auto
rheumatoid_arthritis_tissue_119,fastq_files/rheumatoid_arthritis_tissue_119_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_119_2.fastq.gz,auto
rheumatoid_arthritis_tissue_122,fastq_files/rheumatoid_arthritis_tissue_122_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_122_2.fastq.gz,auto
rheumatoid_arthritis_tissue_124,fastq_files/rheumatoid_arthritis_tissue_124_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_124_2.fastq.gz,auto
rheumatoid_arthritis_tissue_133,fastq_files/rheumatoid_arthritis_tissue_133_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_133_2.fastq.gz,auto
rheumatoid_arthritis_tissue_139,fastq_files/rheumatoid_arthritis_tissue_139_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_139_2.fastq.gz,auto
rheumatoid_arthritis_tissue_140,fastq_files/rheumatoid_arthritis_tissue_140_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_140_2.fastq.gz,auto
rheumatoid_arthritis_tissue_144,fastq_files/rheumatoid_arthritis_tissue_144_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_144_2.fastq.gz,auto
rheumatoid_arthritis_tissue_146,fastq_files/rheumatoid_arthritis_tissue_146_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_146_2.fastq.gz,auto
rheumatoid_arthritis_tissue_147,fastq_files/rheumatoid_arthritis_tissue_147_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_147_2.fastq.gz,auto
rheumatoid_arthritis_tissue_149,fastq_files/rheumatoid_arthritis_tissue_149_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_149_2.fastq.gz,auto
