sample,fastq_1,fastq_2,strandedness
rheumatoid_arthritis_tissue_52,fastq_files/rheumatoid_arthritis_tissue_52_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_52_2.fastq.gz,auto
healthy_tissue_14,fastq_files/healthy_tissue_14_1.fastq.gz,fastq_files/healthy_tissue_14_2.fastq.gz,auto
rheumatoid_arthritis_tissue_54,fastq_files/rheumatoid_arthritis_tissue_54_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_54_2.fastq.gz,auto
healthy_tissue_17,fastq_files/healthy_tissue_17_1.fastq.gz,fastq_files/healthy_tissue_17_2.fastq.gz,auto
healthy_tissue_21,fastq_files/healthy_tissue_21_1.fastq.gz,fastq_files/healthy_tissue_21_2.fastq.gz,auto
healthy_tissue_22,fastq_files/healthy_tissue_22_1.fastq.gz,fastq_files/healthy_tissue_22_2.fastq.gz,auto
healthy_tissue_24,fastq_files/healthy_tissue_24_1.fastq.gz,fastq_files/healthy_tissue_24_2.fastq.gz,auto
healthy_tissue_5,fastq_files/healthy_tissue_5_1.fastq.gz,fastq_files/healthy_tissue_5_2.fastq.gz,auto
rheumatoid_arthritis_tissue_55,fastq_files/rheumatoid_arthritis_tissue_55_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_55_2.fastq.gz,auto
healthy_tissue_25,fastq_files/healthy_tissue_25_1.fastq.gz,fastq_files/healthy_tissue_25_2.fastq.gz,auto
healthy_tissue_8,fastq_files/healthy_tissue_8_1.fastq.gz,fastq_files/healthy_tissue_8_2.fastq.gz,auto
osteoarthritis_tissue_3,fastq_files/osteoarthritis_tissue_3_1.fastq.gz,fastq_files/osteoarthritis_tissue_3_2.fastq.gz,auto
rheumatoid_arthritis_tissue_59,fastq_files/rheumatoid_arthritis_tissue_59_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_59_2.fastq.gz,auto
osteoarthritis_tissue_5,fastq_files/osteoarthritis_tissue_5_1.fastq.gz,fastq_files/osteoarthritis_tissue_5_2.fastq.gz,auto
rheumatoid_arthritis_tissue_60,fastq_files/rheumatoid_arthritis_tissue_60_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_60_2.fastq.gz,auto
osteoarthritis_tissue_8,fastq_files/osteoarthritis_tissue_8_1.fastq.gz,fastq_files/osteoarthritis_tissue_8_2.fastq.gz,auto
healthy_tissue_12,fastq_files/healthy_tissue_12_1.fastq.gz,fastq_files/healthy_tissue_12_2.fastq.gz,auto
rheumatoid_arthritis_tissue_61,fastq_files/rheumatoid_arthritis_tissue_61_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_61_2.fastq.gz,auto
healthy_tissue_15,fastq_files/healthy_tissue_15_1.fastq.gz,fastq_files/healthy_tissue_15_2.fastq.gz,auto
