Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
RAP1_IAA_30M_REP1_1	22.625999999999998	8.148	6.0	4.88	4.2700000000000005	3.5639999999999996	3.724	2.7199999999999998	2.5919999999999996	36.258	4.222	0.996	0.0	0.0	0.0	0.0
RAP1_IAA_30M_REP1_2	21.636	8.3	6.144	5.128	4.67	4.367999999999999	3.528	3.104	2.862	36.106	3.626	0.528	0.0	0.0	0.0	0.0
RAP1_UNINDUCED_REP1	22.966	7.843999999999999	6.15	5.136	4.1000000000000005	3.7560000000000002	2.856	2.688	2.718	36.114000000000004	4.428	1.244	0.0	0.0	0.0	0.0
RAP1_UNINDUCED_REP2	17.857	5.928	4.311	3.596	3.115	2.814	2.6950000000000003	2.36	2.16	37.849	11.399	5.9159999999999995	0.0	0.0	0.0	0.0
WT_REP1_1	16.243	5.042	3.879	3.276	2.88	2.844	2.387	2.464	1.989	38.214999999999996	12.824	7.957	0.0	0.0	0.0	0.0
WT_REP1_2	16.319	5.136	4.212	3.54	3.2	2.994	2.94	2.368	2.403	39.967999999999996	10.847	6.0729999999999995	0.0	0.0	0.0	0.0
WT_REP2_1	20.302	7.739999999999999	6.101999999999999	5.096	4.2	3.696	3.528	2.688	2.376	37.204	5.7059999999999995	1.362	0.0	0.0	0.0	0.0
WT_REP2_2	21.526	8.148	6.276	5.096	4.46	4.308	3.696	2.912	2.628	35.418	4.6899999999999995	0.8420000000000001	0.0	0.0	0.0	0.0
