Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
RAP1_IAA_30M_REP1_1	23.43997911269105	8.166134441967424	6.0191600891727415	4.9004840232170475	4.287923520314917	3.49460745917937	3.6974553634190914	2.635014360024904	2.4944267036211363	35.68516398545922	4.195537346106725	0.9841135948263743	0.0	0.0	0.0	0.0
RAP1_IAA_30M_REP1_2	22.568335642987687	8.342873210017874	6.085437127191661	5.101323532365287	4.729770440441044	4.314032656504187	3.4162800506115567	3.181297824908116	2.7836355967946016	35.72734028238035	3.490590668996405	0.25908296680122916	0.0	0.0	0.0	0.0
RAP1_UNINDUCED_REP1	24.06091776901679	7.7848265924873425	6.081770697832656	5.187216073965859	3.9624567231683643	3.7703376093177767	2.7457023354479775	2.785727150833517	2.575596870059437	35.65010306389962	4.366707358562309	1.0286377554083532	0.0	0.0	0.0	0.0
RAP1_UNINDUCED_REP2	18.838463154314752	5.943723679867161	4.306248812155525	3.5850396615018356	3.050884756579408	2.8148162967260504	2.7027838073041184	2.376689239879565	2.0615978633803804	37.37383841313981	11.210250972782108	5.735663342369287	0.0	0.0	0.0	0.0
WT_REP1_1	17.19261595323705	5.1423176586384916	3.787437478657373	3.3063495570777173	2.8925536829841514	2.8081875338971134	2.3763131992848967	2.482775244561396	2.0247875780889055	37.986862985356446	12.342566739650081	7.657232388566378	0.0	0.0	0.0	0.0
WT_REP1_2	17.322178253620717	5.172448426169575	4.239398991623647	3.531325954643151	3.2039049474720285	2.976919832071189	2.8965711186549625	2.4024265311451702	2.4315529397585522	39.686238274109634	10.978647329409638	5.158387401321737	0.0	0.0	0.0	0.0
WT_REP2_1	21.310289389067524	7.765273311897106	6.083199356913183	5.032154340836013	4.240353697749196	3.6897106109324755	3.587218649517685	2.5884244372990355	2.459807073954984	36.57556270096463	5.542604501607717	1.1254019292604502	0.0	0.0	0.0	0.0
WT_REP2_2	22.610530546623796	8.19935691318328	6.215836012861736	5.016077170418006	4.561897106109325	4.220257234726688	3.6856913183279745	2.97427652733119	2.5683279742765275	35.070337620578776	4.356913183279742	0.5204983922829581	0.0	0.0	0.0	0.0
